"symbol","date","price"
"RENAULT  MEGANE","2018-01",491
"RENAULT  MEGANE","2018-02",550
"SKODA  FABIA","2017-01",90
"SKODA  FABIA","2017-02",87
"SKODA  FABIA","2017-03",135
"SKODA  FABIA","2017-04",150
"SKODA  FABIA","2017-05",252
"SKODA  FABIA","2017-06",196
"SKODA  FABIA","2017-07",194
"SKODA  FABIA","2017-08",223
"SKODA  FABIA","2017-09",291
"SKODA  FABIA","2017-10",243
"SKODA  FABIA","2017-11",399
"SKODA  FABIA","2017-12",267
"SKODA  FABIA","2018-01",195
"SKODA  FABIA","2018-02",223
"SKODA  OCTAVIA","2017-01",149
"SKODA  OCTAVIA","2017-02",213
"SKODA  OCTAVIA","2017-03",273
"SKODA  OCTAVIA","2017-04",300
"SKODA  OCTAVIA","2017-05",282
"SKODA  OCTAVIA","2017-06",305
"SKODA  OCTAVIA","2017-07",321
"SKODA  OCTAVIA","2017-08",342
"SKODA  OCTAVIA","2017-09",338
"SKODA  OCTAVIA","2017-10",318
"SKODA  OCTAVIA","2017-11",369
"SKODA  OCTAVIA","2017-12",387
"SKODA  OCTAVIA","2018-01",244
"SKODA  OCTAVIA","2018-02",329
"TOYOTA  CAMRY","2017-01",65
"TOYOTA  CAMRY","2017-02",35
"TOYOTA  CAMRY","2017-03",125
"TOYOTA  CAMRY","2017-04",180
"TOYOTA  CAMRY","2017-05",146
"TOYOTA  CAMRY","2017-06",142
"TOYOTA  CAMRY","2017-07",184
"TOYOTA  CAMRY","2017-08",233
"TOYOTA  CAMRY","2017-09",323
"TOYOTA  CAMRY","2017-10",318
"TOYOTA  CAMRY","2017-11",213
"TOYOTA  CAMRY","2017-12",165
"TOYOTA  CAMRY","2018-01",330
"TOYOTA  CAMRY","2018-02",313
"TOYOTA  RAV4","2017-01",93
"TOYOTA  RAV4","2017-02",57
"TOYOTA  RAV4","2017-03",235
"TOYOTA  RAV4","2017-04",229
"TOYOTA  RAV4","2017-05",247
"TOYOTA  RAV4","2017-06",201
"TOYOTA  RAV4","2017-07",191
"TOYOTA  RAV4","2017-08",215
"TOYOTA  RAV4","2017-09",275
"TOYOTA  RAV4","2017-10",248
"TOYOTA  RAV4","2017-11",288
"TOYOTA  RAV4","2017-12",314
"TOYOTA  RAV4","2018-01",272
"TOYOTA  RAV4","2018-02",202
"VOLKSWAGEN  PASSAT","2017-01",234
"VOLKSWAGEN  PASSAT","2017-02",310
"VOLKSWAGEN  PASSAT","2017-03",424
"VOLKSWAGEN  PASSAT","2017-04",407
"VOLKSWAGEN  PASSAT","2017-05",409
"VOLKSWAGEN  PASSAT","2017-06",460
"VOLKSWAGEN  PASSAT","2017-07",476
"VOLKSWAGEN  PASSAT","2017-08",525
"VOLKSWAGEN  PASSAT","2017-09",510
"VOLKSWAGEN  PASSAT","2017-10",507
"VOLKSWAGEN  PASSAT","2017-11",582
"VOLKSWAGEN  PASSAT","2017-12",579
"VOLKSWAGEN  PASSAT","2018-01",376
"VOLKSWAGEN  PASSAT","2018-02",513
